#TYPE Selected.System.Management.Automation.PSCustomObject
"ReviewId","RecipeId","AuthorId","AuthorName","Rating","Review","DateSubmitted","DateModified","Likes"
"11","18","96","jean1490","0","I used the sauce with my own pizza dough recipe.
It was thick and delicious.  I added 1 tsp. of sugar.","2001-06-25T10:22:06Z","2001-06-25T10:22:06Z",""
"12","14","96","jean1490","4","I made this on a rainy day when we couln't barbecue.  I used 1 pound of chicken and the amount of sauce was perfect.  The sauce itself was spicy and sweet. I used ketchup and added 2 tablespoons of tomato paste.","2001-07-05T10:36:14Z","2001-07-05T10:36:14Z",""
"13","67","106","Tom Lambie","0","One of the best cakes I have ever tasted","2001-07-13T09:15:29Z","2001-07-13T09:15:29Z",""
"14","30","93","Narda Sterling","5","Have been making these potatoes cake for some near forty years and they always been a winner.They are must recipe to have in ones recipe file. They make a great snack or a light meal.They are easy to make coked in a little butter. I like them when some flour is added. Narda
   ps. Instead of oil I use an egg.","2001-07-16T10:41:15Z","2001-07-16T10:41:15Z",""
"15","55","111","Shelley aka Rachelle","4","Delicious!
My houmous recipe is similar but without the cumin. Always top with extra virgin olive oil; never use vegetable oil (it won''t give the authentic, rich, fragrant middle-eastern taste or fragrance).
For a change: rub pita bread with cut garlic cloves-brush with olive oil-toast in oven until crispy and cut into triangles.  Or just scoop it up with non toasted pita.
Serve with olives-middle-eastern, small green ones, if you can find them (Atlantic Ave.,Brooklyn, NY, or in a city with a large arabic population, look for an Arab grocery).
Or, try Nichoise olives (French, small black).","2001-07-16T10:42:54Z","2001-07-16T10:42:54Z","""3059"""
"16","67","115","Sue18425","4","A great cake,easy to make, bit difficult to cut. Recipe does not state eggs as an ingredient and then says add eggs (how many)? I added 2 and this seemed to be okay.","2001-07-24T13:44:10Z","2001-07-24T13:44:10Z",""
"17","5","100","Jen T","3","Not being overly fond of celery I substituted shredded cabbage.  A tasty & easy dish. Reheated leftovers were great on toast for another quick meal :-)","2001-07-30T09:36:23Z","2001-07-30T09:36:23Z",""
"18","40","118","cindy lee","0","id leave a head space on this  and id also would hotbaththis  for at lease 15 mins  as this sounds like my pickled orka  i canup  thank you cindy","2001-08-01T10:40:41Z","2001-08-01T10:40:41Z",""
"19","43","121","Alan Johns","4","During and shortly after the second world war my mother used to make this cawl with a sheep's head!!! That's all we could afford....I can still see the head soaking in salted water with grass still in it's teeth.!! However she made a wonderful cawl with it.","2001-08-02T09:40:31Z","2001-08-02T09:40:31Z",""
"20","75","123","Katie E0","5","These are so tasty! For vegetarians, they are a great alternative to the traditional stuffed pepper recipies, which almost always have meat in them. The red bell peppers are so much sweeter than the green ones and are perfect match with the mexican flavoring. E:0)","2001-08-05T12:29:40Z","2001-08-05T12:29:40Z",""
"21","41","170","Harriett","5","Excellent","2001-10-01T11:08:49Z","2001-10-01T11:08:49Z",""
"22","60","183","LikeItLoveIt","3","Good, bt I would cut down on the white vinegar.","2001-10-20T17:48:49Z","2001-10-20T17:48:49Z",""
"23","93","184","cheryl coffelt","0","i want to know where she got this recipe from, a simular recipe was given to me about 15 yrs ago from a friend except that you use dorito naucho chip, grated cheese, and a can chopped black olives ,it adds more flavor to the recipe and tastes good with any meal.","2001-10-22T10:53:20Z","2001-10-22T10:53:20Z",""
"24","93","179","Heidi Maurer","0","It is a recipe that my mother passed down to me, I'm really not sure where it originated from. 
I love it with the black olives too but my husband isn't a fan of the olives so we have it without. It really is good with any meal.","2001-10-25T10:20:06Z","2001-10-25T10:20:06Z",""
"25","96","183","LikeItLoveIt","5","Absoltly delicious.  Worth the wait.","2001-10-30T17:52:21Z","2001-10-30T17:52:21Z",""
"26","96","193","Cheri","5","I substitute whole wheat bow tie pasta to increase fiber.  This is delicious.","2001-10-30T17:51:13Z","2001-10-30T17:51:13Z",""
"27","8","132","jessi-ryan","5","This soup is very creamy and yummy!  The peanut butter adds a nice, complimentary flavor.  MODIFICATIONS: I added twice as much red pepper and a little cumin.  I also suggest modifying the recipe to add the rice after you puree the squash, if you like whole rice in your soup.  Regardless, the flavor is outstanding.","2001-11-06T14:36:08Z","2001-11-06T14:36:08Z",""
"28","16","172","Lennie","3","These squares are extremely sweet; they even overwhelmed a diehard sweet tooth like myself. I baked these up for a group of teenagers, and they did go over well with them. The frosting is very good; I can't wait to try it on a plain cake or, perhaps, banana. Do pour the frosting onto the brownies as soon as possible, as it starts to stiffen very quickly. If I bake this recipe again, I will reduce the sugar in the brownies down to 1 cup, and likely up the cocoa.","2001-11-09T09:32:14Z","2001-11-09T09:32:14Z",""
"29","88","182","juana kennedy","5","Christmas party drink and pretty.
I put into a large clear glass help yourself
caldron with a ladel for the fruit!
add cinnamon sticks and star anise...holiday fest.","2001-11-18T15:37:10Z","2001-11-18T15:37:10Z",""
"30","96","43","Becky","5","I added 1 1/2 cups of diced tasso but you could use pancetta or even ham or bacon.  It gave it a richness of flavor.  I also recommend getting a good parmasan cheese like regianno, not the already grated kind.  We loved it!  This will become one of my staple winter soups.","2001-11-19T09:45:27Z","2001-11-19T09:45:27Z",""
"31","98","83","Evie3234","5","A mix of some of my favourite things, loved this recipe, thanks for posting.  =)","2001-11-20T10:42:22Z","2001-11-20T10:42:22Z",""
"32","96","203","Happyclip1","5","This is the most wonderful soup that we've had in a long while. It's so flavorful.  I add a little smoked bacon to it. I gave it to several people and the comments were the same.  You have a winner here!   Happyclip","2001-12-03T13:23:55Z","2001-12-03T13:23:55Z",""
"33","14","168","Luke Meakins","3","I made this one evening after our grill mysteriously ran out of gas.  It was a good dish ,but next time I will cut down on the amount of water used.  Had a very interesting flavor, sweet, yet spicy.  Worth a try.","2001-12-06T10:25:55Z","2001-12-06T10:25:55Z",""
"34","92","189","Mysterygirl","5","These are wonderful and the smell in the kitchen was awesome.  Couldn't wait for them to cool down.  I will definitely be making more of these.","2001-12-10T10:02:14Z","2001-12-10T10:02:14Z",""
"35","92","83","Evie3234","5","Absolutely delicious, made these today to include on our nibbles table for Christmas. 
And the smell while in the oven was divine.  ","2001-12-23T12:10:00Z","2001-12-23T12:10:00Z",""
"36","34","166","Mona1397","5","I used one stick of butter,4 onions and 1 pound fresh mushrooms,sliced.Plus liberal amounts
of salt and pepper.Then served them over the top of grilled chicken.Yummy!!","2002-01-02T14:56:11Z","2002-01-02T14:56:11Z",""
"37","55","281","cathy","5","Carol's hummous is awesome! Carol recently gave me her recipe when she couldn't make a family get-together[I'm her sister].
Easy recipe, although I should add make only 1 batch at a time, I found my double batch very hard to work with. I also found hot water is very important, as does tend to seize up.
Otherwise, quick, easy and delicious!
Cathy","2002-01-12T18:38:19Z","2002-01-12T18:38:19Z",""
"38","92","283","sheri","5","awesome recipe, easy to make.  I couldnt stop eating.---Yum","2002-01-17T14:53:14Z","2002-01-17T14:53:14Z",""
"39","128","150","Charlotte J","5","This was fantastic!  Into the pan and onto the table in no time at all.  I put eight chicken breast into two pans and used only 40 ozs of spaghetti sauce.  Even at that there was sufficient sauce for each piece of chicken.  The comment from my husband when he sat down to eat was, &#8220;WOW&#8221;.","2002-01-22T12:27:25Z","2002-01-22T12:27:25Z",""
"40","55","225","pollen","4","this was super easy to make, and quite tasty, although it had rather a strange flavour to it. i found it quite bitter... i think i would put a little less tahini in next time. also, i left it out on the counter for a few hours, and much of the flavour seemed to dissappear... so i would be sure to cover it right after making it next time!","2002-01-25T11:00:28Z","2002-01-25T11:00:28Z",""
"41","131","36","Bergy","5","This is a very, very good recipe.  The flavor is wonderful  I served it with long grain rice cooked in chicken broth and stir fried veggies, bean sprouts, mushrooms, carrot, snow peas, broccoli. onion & cauliflower just excellent .  This will be a regular.  I like the way you laid out the recipe with Marinade, Seasonings etc.  I got each ready and in a small bowl ready to use.  You did not say to put the chicken in the marinade prior to cooking it but where else would you use it?  I did this and it worked.  Also I used crushed dried peppers and shallot in stead of green onion and I used the ginger.  Thankyou, Bergy","2002-01-28T10:15:24Z","2002-01-28T10:15:24Z",""
"42","127","295","mal in missouri","4","I loved this soup! It's perfect warm-you-up comfort food on a cold day.  I adapted it a little by doubling it, adding smoked turkey sausage and 2-3 tsps of Paul Prudhomme's Poultry Magic seasoning.  I took it to work for lunch today and everyone kept saying ""Mmmm-what kind of soup is that?"" :) Thanks for posting it!","2002-01-29T17:44:46Z","2002-01-29T17:44:46Z",""
"43","138","207","Graybert","3","This tasted all right, but it wasn't very creamy at all.  The rice was rather sticky- not what I expected it to be like.  I did like the addition of strawberries - gave it a bit of a punch.","2002-01-30T16:11:37Z","2002-01-30T16:11:37Z",""
"44","105","50","Charishma_Ramchanda","5","&quot;Delicious, Yummy, Extra-ordinary, bizzare&quot;! Just too tasty!! Loved it, thanks a tonne for sharing it, will be a nice one to make on Valentine's Day!","2002-01-30T16:14:28Z","2002-01-30T16:14:28Z",""
"45","12","186","Mirj2338","5","Easy is an understatement!  We had guests for dinner last night and this was a hit with everyone.  I substituted lemon juice for the lime (can't find the stuff locally) and grilled them outside on the BBQ.  Served it with some plain seasoned couscous and a veggie-laden salad.","2002-01-31T12:38:14Z","2002-01-31T12:38:14Z",""
"46","74","325","solo11","4","Not for wimps!  This was really good.  Some people thought it was too hot, but the majority said , ""Now, those ARE hot wings"".  Thanks!","2002-02-04T14:03:09Z","2002-02-04T14:03:09Z",""
"47","132","50","Charishma_Ramchanda","4","Its delicious, great n good, I'm wth your DH on this one:) 
However, I'd als add that I topped it off with some red glaze cherries dipped in Nestle Sweetened Condensed Milk- that was yummy!","2002-02-05T11:22:52Z","2002-02-05T11:22:52Z",""
"48","144","60","Mark H.","5","This is a fantastic dessert. It's quick and easy to make and tastes really great. The graham crackers soften a bit but don't get too moist. I will definately be making this many more times.","2002-02-05T11:22:52Z","2002-02-05T11:22:52Z",""
"49","130","186","Mirj2338","5","Bergy -- are you trying to kill me?  I made this for dessert on Worldwide Recipezaar Day.  It's supposed to be a light dessert for after a heavy meal, but no one tells you that it's so good that no matter how much you've stuffed yourself you're going to try to eat your weight in Orange Mousse afterwards.  My guests, who groaned at the prospect of more food, turned into animals and inhaled every spoonful.  I made it non-dairy by subbing soy milk for the cow juice, and it was great!  Thanks Bergy, for the recipe and the compliments that came my way!!!","2002-02-12T14:26:58Z","2002-02-12T14:26:58Z",""
"50","75","24","Gay Gilmore","5","A big hit at a Mexican themed party I had.  I used these baby sweet peppers (red, orange and yellow) that you can get at costco, so they were bite-size.  I sliced them lengthwise and stuffed them. I used Mexican chese instead of chedder, but I think next time I'll use cheddar. I broiled them for 15 minutes.  They were so beautiful...","2002-02-12T14:26:59Z","2002-02-12T14:26:59Z",""
"51","115","175","RecipeNut","4","This recipe was so easy to make and quite tasty!  All my daughters loved it!","2002-02-18T13:12:42Z","2002-02-18T13:12:42Z",""
"52","106","48","Miss Annie","5","Fabulous!  I made this dip just like the recipe.
It makes a lot of dip, so be sure to have some friends to help you scarff if down.","2002-02-25T15:26:33Z","2002-02-25T15:26:33Z",""
"53","173","362","hotpink41","5","these truely are ultimate brownies. if you have not had them your life is not complet. i have told everybody i know about this easy, great tasting, brownie recipe","2002-03-04T13:29:31Z","2002-03-04T13:29:31Z",""
"54","146","54","Mary Scheffert","4","This is very good - moist on the inside, crusty on the outside.  The next time I make it I will add some shredded cheddar to the batter to give it some extra flavor.  I think I will also pan-fry the leftover slices in a little margarine to ""toast"" it for a different twist.  -M","2002-03-18T10:44:28Z","2002-03-18T10:44:28Z",""
"55","16","290","KeyWee","5","Dancer!  I am not big on sweets, but my husband LOVED these.  Also, I took a plate full of them to MIL's for St. Patty's - they gobbled them up.  Thanks for making me look good!!","2002-03-18T10:44:28Z","2002-03-18T10:44:28Z",""
"56","16","113","Claire312","4","I'm going to have to ditto Lennie on this one. These were very sweet! People who like really gooey desserts would love this recipe, but I'm not so into gooey. I'm sending these to work with my husband where I'm sure these brownies will be devoured. The icing is especially good. Overall though, just a little too sweet for me -- and I have quite a sweet tooth. What's fun is that they're made with Coca Cola.
UPDATE: I let these brownies sit out overnight and my opinion has changed.  I am adding one additional star.  These brownies are MUCH better the next day.  The icing hardens more, the texture improves, the whole thing just comes together.","2002-03-22T10:37:24Z","2002-03-22T10:37:24Z",""
"57","61","384","Dolores Gillingham","5","So easy, so yummy!","2002-03-22T10:34:51Z","2002-03-22T10:34:51Z",""
"58","143","353","tealeaf","1","Sorry, but this was relly dry.","2002-03-22T10:34:51Z","2002-03-22T10:34:51Z",""
"59","41","413","Peggy Acee","5","I have made this recipe several times starting last Easter (2001). It is wonderful. Very easy to make.","2002-03-24T17:07:11Z","2002-03-24T17:07:11Z",""
"60","176","207","Graybert","5","These muffins were delicious!  Moist and very tasty!  I didn't have the allspice so I had to omit it - but they still tasted great!  Had to bake mine for a little longer.  Next time I may add some chopped up walnuts or pecans for a change.  Really great!  This one is a keeper!  Thanks Charlotte.","2002-03-26T11:33:20Z","2002-03-26T11:33:20Z",""
"61","24","409","Bekeur","5","Loved these potatoes, wonderful flavor, a flavored cream cheese like onion/chives would be a good addition as well.  Very easy to make and you can make as much or as little as you want.","2002-03-26T11:40:37Z","2002-03-26T11:40:37Z",""
"62","18","397","sahmof02","4","I also used this sauce with my own dough. I added the sugar and then also added about 1/4 cup of parmesan cheese. It was wonderful. My husband said it was better than delivery or gourmet.

I served a green salad w/ red wine vinegar dressing and a chianti.","2002-03-27T13:24:06Z","2002-03-27T13:24:06Z",""
"63","41","39","sharron cant","4","My whole family just loves this recipe and we are having it again for easter. Sharon cant chef in the house","2002-03-27T13:24:08Z","2002-03-27T13:24:08Z",""
"64","196","417","psych751","5","Grabbed this recipe at the last minute before putting my ham in and it was delicious! If you don't like cloves to permeate the ham, this is the recipe for you!  I didn't use the water in this as I had only half a ham and also this sounded thinner than I thought it needed to be. I crossed hatched the ham about 20 minutes before done and poured more glaze over the top and stuffed in some marachino cheeries. It was so beautiful and I had none left!","2002-04-01T11:00:43Z","2002-04-01T11:00:43Z",""
"65","41","36","Bergy","5","Wonderful recipe.  I made it last night to go with a roasted chicken.  I served the vinaigrette hot over hot asparagus, even the aroma was great.  I used 2 cloves of garlic.I steamed the asparagus for about 4 minutes and they were thick stems (I like my asparagus still crisp).    I am so glad I checked before posting the recipe - I picked up the identical one from the internet and was all excited about sharing it and here it was already posted.   This is a really good way to serve asparagus.","2002-04-01T11:00:44Z","2002-04-01T11:00:44Z",""
"66","61","256","MizzNezz","3","We thought this was pretty good. I used 10 oz crushed pineapple and 1-1/2 cup pineapple juice. I used the 1/2 pint carton whipping cream. The consistency was good, the taste was good. Next time I'll try adding 1 cup coconut.","2002-04-02T09:18:18Z","2002-04-02T09:18:18Z",""
"67","202","248","SaraFish","4","Wow! Rich & delicious.","2002-04-05T10:16:06Z","2002-04-05T10:16:06Z",""
"68","198","276","Tarynne","5","This was a very good and simple recipe to make. I used leftover ham instead of a hamhock and Baby Lima Beans(what I had on hand). I will definitly make this again.","2002-04-07T17:14:13Z","2002-04-07T17:14:13Z",""
"69","144","113","Claire312","5","This recipe is SO good.  The filling tastes much more sophisticated than what it is -- pudding and whipped cream.  It's even better if you use French Vanilla flavored pudding.

I have to admit.  For the icing, I used Duncan Hines Chocolate Butterceam.   I softened it for about 10 seconds in the microwave so that I it would spread easily across the top layer of the ""cake"".  It was delicious.","2002-04-07T17:14:27Z","2002-04-07T17:14:27Z",""
"70","192","186","Mirj2338","5","Simply superb!  This was part of last night's dinner, and I brought the leftovers in for lunch, had to beat my co-workers off with a stick!  I subbed veggie broth for the chicken broth to make it vegetarian, and added double the amount of feta cheese (the recipe calls for 1/4 for 4 people, I upped it to 1/2 a cup).  Thanks Lorac, this a new one for my repetoire!","2002-04-08T10:10:39Z","2002-04-08T10:10:39Z",""
"71","105","191","kartofle","5","This recipe is super.  I used a box of fudge marble cake mix and it turned out very tasty. Good texture and flavor.  It does not require cooking oil so it keeps the calories down.                Conrad","2002-04-08T10:11:44Z","2002-04-08T10:11:44Z",""
"72","144","416","dojemi","5","When I was a child my Mother always made a recipe similiar to this one.  It was just the graham crackers and pudding layered, ending with the pudding which she sprinkled with graham cracker crumbs.  

Reading it brought back memories of my Mom and I thank you for that.

Will definately try it as posted here.

I have rated it a 5-star because I know how wonderful my Mother's was, and I'm sure this is as well.","2002-04-09T10:20:49Z","2002-04-09T10:20:49Z",""
"73","105","343","Alvin Towriss","5","easy, moist, easy, tasty, easy, still moist after days,easy. e-mailed it to my grand daughter at university and she loved it.","2002-04-10T12:40:43Z","2002-04-10T12:40:43Z",""
"74","52","452","Auntietta","4","I served this to my bunco group and it was a huge hit.  It presents beautifully and tastes and looks like something that takes a lot more time.  I would love to have some ideas on how to reduce both the calories and the fat content in this recipe.  They are both horrendous!","2002-04-14T19:19:04Z","2002-04-14T19:19:04Z",""
"75","201","439","beebers","5","My husband and father absolutely love this dish.  It has just a little kick and it is very easy to make.  I did one subsitution however.  My husband and I are on a diet and aren't allowed to use vegetable oil (we can use peanut, canola or olive oil).  So, I used olive oil instead.  I was affraid that the flavor wouldn't come out right, but it came out absolutely delicious.","2002-04-14T19:19:20Z","2002-04-14T19:19:20Z",""
"76","192","259","Leah K.","5","This was great!!! I took Mirjam's lead and substituted veggie broth for the chicken broth. When I ran out of feta cheese [the next day], I substituted parmesean, and it was equally as wonderful!! Thank you for an easy, quick, nutritious and delicious soup, it really hit the spot!!!","2002-04-22T14:15:37Z","2002-04-22T14:15:37Z",""
"77","26","467","Deborah in Kentucky","4","This worked out beautifully. It tastes better than store bought and it is great to keep on hand. Stores well. I made it with my own dried onions and parsley. THANKS","2002-04-24T11:59:28Z","2002-04-24T11:59:28Z",""
"78","77","406","SuzieQue","4","This was quite good. Nice oniony flavor with alittle crunch from the water chestnuts. Mushrooms made it nice and rich tasting also. It was easy to put together and get into the oven too!","2002-04-27T13:32:36Z","2002-04-27T13:32:36Z",""
"79","226","381","Myrna 2","4","Tried this  last night, it was just as she said. Very creamy and very very good. So far it's the best one I've tried. Very easy to make. I served it as a side dish with Salisbury Steak and green beans.Will definetly make it again.","2002-04-30T12:58:54Z","2002-04-30T12:58:54Z",""
"80","122","390","BogeysMom","5","Gee (lick slurp smack), I'd really like to type alot about how great this is (lick lick smack), but I'm getting chocolate all over the keyboard (slurp lick lick smack smack).  YUUUUUUUM!","2002-04-30T16:35:28Z","2002-04-30T16:35:28Z",""
"81","5","471","Peg Roberts","3","Good, easy to make and healthy. It is similar to a recipe I have used in the past which used a can of cream of chicken soup and 1/2 can of milk instead of the tomatoes. Any vegetable could be used instead of the squash.","2002-05-02T14:20:52Z","2002-05-02T14:20:52Z",""
"82","122","52","Kathy","5","Simply the most perfect chocolate cake ever!  Definitely worth the time to make again and again.","2002-05-02T14:55:12Z","2002-05-02T14:55:12Z",""
"83","74","424","Kim D.","5","These wings were GREAT!  The only change I made, was that I baked the wings at 375F for 35-40 minutes instead of frying them for a healthier dish.  My family loves to eat hot wings at a restaurant called ""Wolfies"" and they said these were pretty close to the restaurants!   Thanks for sharing your recipe!","2002-05-04T14:58:53Z","2002-05-04T14:58:53Z",""
"84","88","83","Evie3234","5","I have been sipping this most of the weekend, a perfect drink for our Mexican Fiesta.
I like the idea of the cinnamon sticks and will try that next time. Thanks for posting.  =)","2002-05-06T16:21:03Z","2002-05-06T16:21:03Z",""
"85","162","178","Karen From Colorado","5","Alicia and I had these for lunch.  I used a mixture of both cheddar and jack cheese and added some shredded chicken lightly sprinkled with cumin and chili powder.  These were great!  Thanks Miller","2002-05-06T16:33:24Z","2002-05-06T16:33:24Z",""
"86","122","85","spatchcock","5","This was wonderful! I made it for a birthday. It tasted great even though my oven bakes unevenly (literally, each little cake was off-kilter and they kept slipping off each other until the icing was completely stiffened!) The filling was really rich and wonderful!!! I didn't use the chocolate outer icing, but used this swirly marshmallowy icing that has been in the family for several generations.
One other thing I did was to melt some bittersweet chocolate and drizzle it over the top and onto the cake plate. (Seems white chocolate would look nice too!)","2002-05-13T12:59:48Z","2002-05-13T12:59:48Z",""
"87","88","403","_Pixie_","5","I used Canada Dry ginger ale, I don't think I'd want to try this with a golden ginger ale. 

This is beautiful and delicious. I gave people the option of using a cinnamon stick as a stirrer or straw (or not as their preference goes...)","2002-08-27T19:07:24Z","2002-08-27T19:07:24Z",""
"88","231","100","Jen T","4","Thanks Karen  :)  Another hit for DH.  He is most impressed with the simplicity & so may even have a try himself. LOL  Cheers Jen :)","2002-05-13T14:19:41Z","2002-05-13T14:19:41Z",""
"89","81","44","Ursie","3","This was so refreshing but it really depends on the cantalope for flavor. So be sure the cantalopes are in season befor trying this rcipe.","2002-05-14T12:50:53Z","2002-05-14T12:50:53Z",""
"90","137","509","joedromedary","4","I've made this 3 times now & like it a lot. But is this supposed to make pita pockets? It doesn't for me.I end up with a soft flat bread. You're right najwa, it's great wiyh hummus & falafel - just not what I expected.","2002-05-15T11:03:12Z","2002-05-15T11:03:12Z",""
"91","31","326","Meghan","4","This was a really easy meal, that took very little time, but yeilded a delicious gormet pizza that was gobbled up in  minutes. I added a bit of extra garlic , but im a bit of a garlic freak!","2002-05-15T11:04:45Z","2002-05-15T11:04:45Z",""
"92","251","334","bunnee","5","I don't eat meat, but this looked good, so I printed it and voila! The kids and hubby loved it. It was  easy and fun to prepare (made it a family project). Everyone raved. Another great use for Boboli!","2002-05-18T10:46:11Z","2002-05-18T10:46:11Z",""
"93","88","511","Martin Andrews","3","A nice light 'punch' but not a traditional Spanish version. I have posted my own recipe which has a bit more...how do you say?? Vavooom!!","2002-05-16T10:47:13Z","2002-05-16T10:47:13Z",""
"94","148","298","JustJanS","4","A really good recipe. The sauce was so rich and tasty. Next time we make them, we plan to add some fresh herbs to the sauce-lemon thyme would be nice. We cooked off the onion, then added the other sauce ingredients and cooked it for 20 minutes, then added the browned meatballs and cooked it all for a further 20 minutes. We had this over mashed potatoes, with veg on the side.","2002-05-18T10:42:00Z","2002-05-18T10:42:00Z",""
"95","246","36","Bergy","5","What a great, special soup! It'seasy and ever so tasty.  I love hot 'n spicy and this hits the spot.  The only thing I changed was the peanut oil I used chili oil (use what's on hand)  Thank's SueL I'll be trying more of your recipes","2002-05-18T11:20:17Z","2002-05-18T11:20:17Z",""
"96","148","290","KeyWee","4","Very tender & tasty - easy to make - had all the ingredients on hand!  I had to omit the green pepper (DH won't eat it) so the sauce was a little sweet for me, but HE loved this, so will definitely make again.  Served over steamed rice.
I let this simmer for a little more than 2 hours while I sneaked out to a Jazzercise class - worked great for me!!
Thanks!","2002-05-21T11:26:05Z","2002-05-21T11:26:05Z",""
"97","122","531","rosebuds007","0","those reviews make me go now to the kitchen to do it.  I am looking for the perfect chocolate cake.  Let's see if this can make it.","2002-05-22T17:07:30Z","2002-05-22T17:07:30Z",""
"98","248","491","Steingrim","5","This is really good.  Using the peppers in strips makes it so people who don't like really spicy food can avoid the heat, but you can add more peppers in if you like it really hot too.","2002-05-22T17:07:33Z","2002-05-22T17:07:33Z",""
"99","195","533","JimBo WashingtonSta","4","WOW! Let me tell you, it worked for me, My son and Wife wanted Pancake's like right now, and I lived to far from town to go and get some syrup, but I knew that I would be able to find something on the internet, and Lo and Be hold, here it is how to make Syrup..","2002-05-23T21:01:46Z","2002-05-23T21:01:46Z",""
"100","30","89","Joseph Bahr","5","My mother used to make these potato cakes when I was a kid. (I'm 68 now.) I've missed them all these years. Thanks for the recipe. It brought ba ck so many happy memories. Big Joe","2002-05-24T15:35:40Z","2002-05-24T15:35:40Z",""
"101","220","58","Nancy Sneed","5","I used this to ice cream puffs which were filled with barvarian cream.  It was delicious but I think next time I would use less chocolate as it was a little bittersweet and I like sweet chocolate best.  There were 5 of us and all enjoyed it. Thanks Lorac for a great addition to my collection.","2002-05-25T13:01:45Z","2002-05-25T13:01:45Z",""
"102","223","50","Charishma_Ramchanda","5","Steve, this is great! I halved the recipe and made it just 5 minutes back. Its 1:45am:) I was having this 'thing' for having something sweet right now and since I have a little friend(5 yr kid) coming home tomorrow morning (who loves chocolate), I thought it would be great to gift some to her. Hence, went n made it! Glad I did! Its a good chocolate syrup, not too sweet like you have mentioned. That makes it a winner in my books:)! Thanks for the recipe! UPDATE: I made this sauce and after it had cooled, I stored it in my refrigerator for 4 hours. Then, for dessert, I poured a tbsp. of this heavenly sauce over 1 Zebra cake and ate it. It was AWESOME!!!! Makes a whole new dessert for my family and me. Thank you for the delicious sauce recipe, all over again:)  ","2004-06-05T21:00:55Z","2004-06-05T21:00:55Z",""
"103","136","117","Tebo3759","5","I love good crockpot dishes and this filled the bill.  My dinner guests took the recipe home with them.  I did not alter the recipe at all and it was terrific.  Thank you Claire.","2002-05-28T19:40:58Z","2002-05-28T19:40:58Z",""
"104","246","319","Sueie","5","Don't normally eat any meat at all, but have the flu and you know the saying chicken soup is good for the soul. Really enjoyed this heaps, on tasting at first thought it wasn't quite right, might be because of not eating meat for a while, but when it was served up in the bowl with the fresh herb garnish, it was to die for. This is a keeper will definitely be serving this for friends.","2002-05-28T19:41:07Z","2002-05-28T19:41:07Z",""
